
Hyperleda Values

| Galaxy   |     RA      |     Dec     | Vt    |modbest| bri25 |logd25|logr25|Const|
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 23.94         | 0.614           | 23.95 | TRGB     |51340|Lee+1993          |TRGB:Lee+1993         |
| 23.95 ±0.09   | 0.617 ± 0.026   | 24.04 | TRGB     |51319|McConnachie+2005  |TRGB:McConnachie+2005 |
| 24.01 ±0.04   | 0.634 ± 0.012   | 24.01 | TRGB     |51342|Rizzi+2007        |TRGB:Rizzi+2007       |
| 24.11 ±0.02   | 0.664 ± 0.008   | 24.11 | TRGB     |52052|Jacobs,+2009      |TRGB:Rizzi+2007       |
| 24.11 ±0.02(p)| 0.664 ± 0.008(p)| 24.11 | TRGB     |51764|Jacobs+2009       |TRGB:Rizzi+2007       |
| 24.13(c)      | 0.670(c)        | 24.13 | RRLyrae  |52014|Tammann+2008      | |
| 24.01(c)      | 0.634(c)        | 23.95 | SBF      |51600|Tully+2008        |SBF:Tonry+2000        |
| 23.96(c)      | 0.620(c)        | 23.97 | TRGB     |51160|Karachentsev+2004 |TRGB:Lee+1993         |
| 24.03(c)      | 0.640(c)        | 24.03 | TRGB     |52014|Tammann+2008  | |

M 32:
| modulus       | distance        |modc |  method    |iref | bibref           | calib |
| 24.33 ±0.21   | 0.735 ± 0.075   | 24.33 | HB       |51728|Fiorentino+2012   | |                                  
| 24.42 ±0.12   | 0.766 ± 0.043   | 24.51 | RRLyrae  |51707|Sarajedini+2012   | RRLyrae:Chaboyer1999 |
| 24.11 ±0.07   | 0.663 ± 0.022   | 24.35 | SBF      |50007|Jensen+2003       | SBF:Jensen+2003      |
| 24.55 ±0.08   | 0.813 ± 0.031   | 24.49 | SBF      |50006|Tonry+2001        | SBF:Tonry+2000       |
| 24.60         | 0.830           | 24.60 | SBF      |51561|Tonry+1988        | |
| 24.28 ±0.43   | 0.718 ± 0.157   | 24.30 | TRGB     |51766|Mould+2009        | TRGB:I=-4.05         |
| 24.50 ±0.01   | 0.794 ± 0.004   | 24.50 | TRGB     |52052|Jacobs,+2009      | TRGB:Rizzi+2007      |
| 24.46 ±0.06   | 0.780 ± 0.022   | 24.46 | average  |51699|Watkins+2012      |  |
| 24.50 ±0.01(p)| 0.794 ± 0.004(p)| 24.50 | TRGB     |51764|Jacobs+2009       | TRGB:Rizzi+2007      |
| 24.55(c)      | 0.813(c)        | 24.49 | SBF      |51600|Tully+2008        | SBF:Tonry+2000       |
| 24.43(c)      | 0.769(c)        | 24.43 | TRGB     |52014|Tammann+2008      |  |
| 24.43(c)      | 0.770(c)        | 24.43 | TRGB     |51160|Karachentsev+2004 |  |

M 110:
| modulus       | distance        |modc |  method    |iref | bibref           | calib |
| 24.76         | 0.895            | 24.81 | RRLyrae |51340|Lee+1993          | RRLyrae:Lee+1990      |
| 24.42         | 0.766            | 24.43 | TRGB    |51340|Lee+1993          | TRGB:Lee+1993         |
| 24.58 ±0.07   | 0.824 ± 0.027    | 24.67 | TRGB    |51319|McConnachie+2005  | TRGB:McConnachie+2005 |
| 24.52 ±0.02   | 0.802 ± 0.007    | 24.52 | TRGB    |52052|Jacobs,+2009      | TRGB:Rizzi+2007       |
| 24.52 ±0.02(p)| 0.802 ± 0.007(p) | 24.52 | TRGB    |51764|Jacobs+2009       | TRGB:Rizzi+2007       |
| 24.65(c)      | 0.851(c)         | 24.65 | RRLyrae |52014|Tammann+2008      |                       |
| 24.40(c)      | 0.759(c)         | 24.40 | TRGB    |51600|Tully+2008        | TRGB:unknown          |
| 24.59(c)      | 0.828(c)         | 24.59 | TRGB    |52014|Tammann+2008      |                       |
| 24.60(c)      | 0.830(c)         | 24.60 | TRGB    |51160|Karachentsev+2004 |                       |

M 31:
| modulus       | distance        |modc |  method    |iref | bibref           | calib |
| 24.77 ±0.11   | 0.899 ± 0.047   | 24.77 | Cepheids |51882 Feast+1997        | Cepheids:Feast+1997          |
| 24.38 ±0.05   | 0.752 ± 0.018   | 24.45 | Cepheids |51278 Freedman+2001     | Cepheids:Freedman+2001       |
| 24.48 ±0.05   | 0.787 ± 0.018   | 24.49 | Cepheids |51278 Freedman+2001     | Cepheids:Freedman+2001:Z     |
| 24.44 ±0.07   | 0.773 ± 0.025   | 24.47 | Cepheids |51470 Paturel+2002      | Cepheids:Lanoix+1999         |
| 24.54 ±0.07   | 0.809 ± 0.027   | 24.44 | Cepheids |51333 Saha+2006         | Cepheids:Saha+2006           |
| 24.48         | 0.787           | 24.35 | Cepheids |51333 Saha+2006         | Cepheids:Sandage+2004:Galaxy |
| 24.39         | 0.755           | 24.42 | Cepheids |51333 Saha+2006         | Cepheids:Sandage+2004:LMC  |  
| 24.37 ±0.07   | 0.748 ± 0.025   | 24.43 | Cepheids |51338 Willick+2001      | Cepheids:Willick+2001  |
| 24.63 ±0.06   | 0.843 ± 0.024   | 24.63 | Cepheids |51456 Metcalfe+1991     | |
| 24.33 ±0.10   | 0.735 ± 0.035   | 24.33 | Cepheids |51469 Kochanek1997      | |
| 24.47 ±0.05   | 0.783 ± 0.018   | 24.47 | Cepheids |51469 Kochanek1997      | |
| 24.38 ±0.07   | 0.752 ± 0.024   | 24.38 | Cepheids |51746 Riess+2012        | |
| 24.38 ±0.05   | 0.752 ± 0.018   | 24.38 | Cepheids |51332 Sakai+2004        | |
| 24.41 ±0.08   | 0.762 ± 0.029   | 24.41 | Cepheids |51332 Sakai+2004        | |
| 24.49 ±0.11   | 0.791 ± 0.041   | 24.49 | Cepheids |51848 Joshi+2003        | |
| 24.47 ±0.06   | 0.784 ± 0.021   | 24.47 | RC       |51744 Stanek+1998       | |
| 24.41 ±0.12   | 0.762 ± 0.043   | 24.50 | RRLyrae  |51707 Sarajedini+2012   | RRLyrae:Chaboyer1999   |
| 24.36         | 0.745           | 24.41 | RRLyrae  |51340 Lee+1993          | RRLyrae:Lee+1990       |
| 24.28 ±0.07   | 0.717 ± 0.024   | 24.52 | SBF      |50007 Jensen+2003       | SBF:Jensen+2003        |
| 24.40 ±0.08   | 0.759 ± 0.028   | 24.34 | SBF      |50006 Tonry+2001        | SBF:Tonry+2000         |
| 24.49 ±0.35   | 0.791 ± 0.138   | 24.51 | TF       |51600 Tully+2008        | TF:Tully+2008          |
